Image,Width,Height,Pixels,Time_ms,Orig_Size,Compact_Size,Reduction,Pixel_Diff_Min,Pixel_Diff_Max,Changed_Pixels,PSNR
"./images\image1.jpg",200,200,40000,110.5,120000,59133,50.7,1,10,1024,52.04
"./images\image2.jpg",224,224,50176,107.9,150528,53013,64.8,1,12,615,53.74
"./images\image3.jpg",248,248,61504,252.5,184512,154804,16.1,1,12,1020,54.05
"./images\image4.jpg",272,272,73984,317.3,221952,191690,13.6,1,12,1014,54.68
"./images\image5.jpg",296,296,87616,312.5,262848,178330,32.2,1,12,1021,55.33
"./images\image6.jpg",320,320,102400,400.1,307200,211964,31.0,1,12,1020,56.66
"./images\image7.jpg",344,344,118336,626.1,355008,335944,5.4,1,12,1008,57.43
"./images\image8.jpg",368,368,135424,585.4,406272,309443,23.8,1,12,1024,57.17
"./images\image9.jpg",392,392,153664,581.0,460992,258226,44.0,1,12,1011,58.24
"./images\image10.jpg",416,416,173056,441.4,519168,174727,66.3,1,12,922,58.43
"./images\image11.jpg",440,440,193600,425.0,580800,166954,71.3,1,9,1024,59.20
"./images\image12.jpg",464,464,215296,620.5,645888,276906,57.1,2,8,272,63.11
"./images\image13.jpg",488,488,238144,736.6,714432,337754,52.7,1,10,907,59.53
"./images\image14.jpg",512,512,262144,965.4,786432,502904,36.1,1,12,1024,60.46
"./images\image15.jpg",536,536,287296,1042.0,861888,499057,42.1,1,10,934,60.31
"./images\image16.jpg",560,560,313600,999.6,940800,526284,44.1,1,9,925,61.35
"./images\image17.jpg",584,584,341056,1498.6,1023168,857596,16.2,1,12,998,61.26
"./images\image18.jpg",608,608,369664,2173.7,1108992,1243977,-12.2,1,12,1003,61.81
"./images\image19.jpg",632,632,399424,2308.9,1198272,1247599,-4.1,1,12,1006,61.91
"./images\image20.jpg",656,656,430336,1567.5,1291008,895762,30.6,1,12,1005,61.86
"./images\image21.jpg",680,680,462400,1721.1,1387200,858474,38.1,1,12,1016,62.80
"./images\image22.jpg",704,704,495616,2259.9,1486848,1269616,14.6,1,11,998,62.31
"./images\image23.jpg",728,728,529984,1601.7,1589952,768265,51.7,1,12,854,62.98
"./images\image24.jpg",752,752,565504,2522.1,1696512,1425217,16.0,1,12,1000,63.80
"./images\image25.jpg",776,776,602176,2952.2,1806528,1658743,8.2,1,12,976,64.50
"./images\image26.jpg",800,800,640000,3379.8,1920000,2099236,-9.3,1,12,1012,63.74
"./images\image27.jpg",824,824,678976,1672.9,2036928,936877,54.0,1,11,1017,65.51
"./images\image28.jpg",848,848,719104,3170.2,2157312,1964661,8.9,1,12,1024,64.68
"./images\image29.jpg",872,872,760384,3804.1,2281152,2359547,-3.4,1,12,1005,64.98
"./images\image30.jpg",896,896,802816,3939.0,2408448,2335756,3.0,1,12,1001,65.22
"./images\image31.jpg",920,920,846400,3493.0,2539200,2187311,13.9,1,12,1024,67.34
"./images\image32.jpg",944,944,891136,3217.5,2673408,2009063,24.9,1,12,1014,66.10
"./images\image33.jpg",968,968,937024,5004.1,2811072,3020888,-7.5,1,12,1011,66.02
"./images\image34.jpg",992,992,984064,4524.5,2952192,2581270,12.6,1,10,1024,66.71
"./images\image35.jpg",1016,1016,1032256,5664.5,3096768,3497942,-13.0,1,12,1017,66.61
"./images\image36.jpg",1040,1040,1081600,4313.6,3244800,2650216,18.3,1,10,1024,67.30
"./images\image37.jpg",1064,1064,1132096,4935.1,3396288,3178956,6.4,1,12,1019,66.75
"./images\image38.jpg",1088,1088,1183744,5913.0,3551232,3645305,-2.6,1,12,998,67.12
"./images\image39.jpg",1112,1112,1236544,6897.6,3709632,4162358,-12.2,1,12,991,67.09
"./images\image40.jpg",1136,1136,1290496,6612.2,3871488,3998261,-3.3,1,12,1008,67.37
"./images\image41.jpg",1160,1160,1345600,6602.7,4036800,4055986,-0.5,1,12,1010,67.28
"./images\image42.jpg",1184,1184,1401856,6746.2,4205568,4130553,1.8,1,12,1012,67.51
"./images\image43.jpg",1208,1208,1459264,6189.0,4377792,3840849,12.3,1,12,1006,68.59
"./images\image44.jpg",1232,1232,1517824,5760.1,4553472,3343923,26.6,1,12,1000,67.87
"./images\image45.jpg",1256,1256,1577536,7467.0,4732608,4694936,0.8,1,12,1006,68.50
"./images\image46.jpg",1280,1280,1638400,7947.2,4915200,5020056,-2.1,1,12,1010,67.49
"./images\image47.jpg",1304,1304,1700416,7196.2,5101248,4263265,16.4,1,12,1005,67.63
"./images\image48.jpg",1328,1328,1763584,8488.6,5290752,5214847,1.4,1,12,1010,68.65
"./images\image49.jpg",1352,1352,1827904,9709.5,5483712,4734953,13.7,1,12,1001,69.02
"./images\image50.jpg",1376,1376,1893376,10746.6,5680128,6338492,-11.6,1,12,1010,69.05
